externalid,segid,PROJ_GRP,year,LIN_FORECAST
3605,0038_003.2,Since 1990,2036,2947
3605,0038_003.2,Since 1990,2046,2862
3605,0038_003.2,Since 1990,2055,2785
3606,0091_010.1,Since 1990,1990,10589
3606,0091_010.1,Since 1990,2027,22145
3606,0091_010.1,Since 1990,2032,23706
3606,0091_010.1,Since 1990,2036,24956
3606,0091_010.1,Since 1990,2046,28079
3606,0091_010.1,Since 1990,2055,30890
3607,3462_002.8,Since 1990,1990,3969
3607,3462_002.8,Since 1990,2027,1228
3607,3462_002.8,Since 1990,2032,858
3607,3462_002.8,Since 1990,2036,562
3607,3462_002.8,Since 1990,2046,-179
3607,3462_002.8,Since 1990,2055,-846
3608,0039_008.7,Since 1990,1990,6862
3608,0039_008.7,Since 1990,2027,9126
3608,0039_008.7,Since 1990,2032,9432
3608,0039_008.7,Since 1990,2036,9676
3608,0039_008.7,Since 1990,2046,10288
3608,0039_008.7,Since 1990,2055,10839
3609,0084_087.8,Since 1990,1990,5077
3609,0084_087.8,Since 1990,2027,26179
3609,0084_087.8,Since 1990,2032,29031
3609,0084_087.8,Since 1990,2036,31312
3609,0084_087.8,Since 1990,2046,37015
3609,0084_087.8,Since 1990,2055,42148
3612,0080_099.5,Since 1990,1990,22012
3612,0080_099.5,Since 1990,2027,51309
3612,0080_099.5,Since 1990,2032,55268
3612,0080_099.5,Since 1990,2036,58435
3612,0080_099.5,Since 1990,2046,66353
3612,0080_099.5,Since 1990,2055,73480
3612,0080_101.5,Since 1990,1990,22012
3612,0080_101.5,Since 1990,2027,51309
3612,0080_101.5,Since 1990,2032,55268
3612,0080_101.5,Since 1990,2036,58435
3612,0080_101.5,Since 1990,2046,66353
3612,0080_101.5,Since 1990,2055,73480
3613,0065_008.4,Since 1990,1990,675
3613,0065_008.4,Since 1990,2027,446
3613,0065_008.4,Since 1990,2032,415
3613,0065_008.4,Since 1990,2036,390
3613,0065_008.4,Since 1990,2046,328
3613,0065_008.4,Since 1990,2055,272
3614,0080_138.9,Since 1990,1990,29229
3614,0080_138.9,Since 1990,2027,64012
3614,0080_138.9,Since 1990,2032,68713
3614,0080_138.9,Since 1990,2036,72473
3614,0080_138.9,Since 1990,2046,81874
3614,0080_138.9,Since 1990,2055,90335
3615,0190_015.75,Since 1990,1990,4933
3615,0190_015.75,Since 1990,2027,1159
3615,0190_015.75,Since 1990,2032,649
3615,0190_015.75,Since 1990,2036,242
3615,0190_015.75,Since 1990,2046,-778
3615,0190_015.75,Since 1990,2055,-1696
3616,1828_004.5,Since 1990,1990,384
3616,1828_004.5,Since 1990,2027,535
3616,1828_004.5,Since 1990,2032,556
3616,1828_004.5,Since 1990,2036,572
3616,1828_004.5,Since 1990,2046,613
3616,1828_004.5,Since 1990,2055,650
3617,0006_140.3,Since 1990,1990,1858
3617,0006_140.3,Since 1990,2027,1024
3617,0006_140.3,Since 1990,2032,911
3617,0006_140.3,Since 1990,2036,821
3617,0006_140.3,Since 1990,2046,596
3617,0006_140.3,Since 1990,2055,393
3618,0073_015.5,Since 1990,1990,631
3618,0073_015.5,Since 1990,2027,2284
3618,0073_015.5,Since 1990,2032,2507
3618,0073_015.5,Since 1990,2036,2686
3618,0073_015.5,Since 1990,2046,3132
3618,0073_015.5,Since 1990,2055,3534
3620,0189_014.3,Since 1990,1990,5994
3620,0189_014.3,Since 1990,2027,13593
3620,0189_014.3,Since 1990,2032,14620
3620,0189_014.3,Since 1990,2036,15441
3620,0189_014.3,Since 1990,2046,17495
3620,0189_014.3,Since 1990,2055,19343
3623,0006_216.2,Since 1990,1990,4608
3623,0006_216.2,Since 1990,2027,10244
3623,0006_216.2,Since 1990,2032,11005
3623,0006_216.2,Since 1990,2036,11614
3623,0006_216.2,Since 1990,2046,13138
3623,0006_216.2,Since 1990,2055,14508
3624,0096_006.2,Since 1990,1990,278
3624,0096_006.2,Since 1990,2027,1431
3624,0096_006.2,Since 1990,2032,1587
3624,0096_006.2,Since 1990,2036,1711
3624,0096_006.2,Since 1990,2046,2023
3624,0096_006.2,Since 1990,2055,2303
3626,0089_296.0,Since 1990,1990,1696
3626,0089_296.0,Since 1990,2027,3405
3626,0089_296.0,Since 1990,2032,3636
3626,0089_296.0,Since 1990,2036,3821
3626,0089_296.0,Since 1990,2046,4283
3626,0089_296.0,Since 1990,2055,4699
3628,0015_233.2,Since 1990,1990,11305
3628,0015_233.2,Since 1990,2027,36698
3628,0015_233.2,Since 1990,2032,40129
3628,0015_233.2,Since 1990,2036,42875
3628,0015_233.2,Since 1990,2046,49737
3628,0015_233.2,Since 1990,2055,55914
3629,1826_004.9,Since 1990,1990,-3046
3629,1826_004.9,Since 1990,2027,4896
3629,1826_004.9,Since 1990,2032,5970
3629,1826_004.9,Since 1990,2036,6828
3629,1826_004.9,Since 1990,2046,8975
3629,1826_004.9,Since 1990,2055,10907
3601,1082_000.0,Since 1991,1991,173
3601,1082_000.0,Since 1991,2027,890
3601,1082_000.0,Since 1991,2032,989
3601,1082_000.0,Since 1991,2036,1069
3601,1082_000.0,Since 1991,2046,1268
3601,1082_000.0,Since 1991,2055,1447
3602,0013_006.5,Since 1991,1991,6264
3602,0013_006.5,Since 1991,2027,9853
3602,0013_006.5,Since 1991,2032,10351
3602,0013_006.5,Since 1991,2036,10750
3602,0013_006.5,Since 1991,2046,11747
3602,0013_006.5,Since 1991,2055,12644
3603,1112_000.0,Since 1991,1991,-29
3603,1112_000.0,Since 1991,2027,1719
3603,1112_000.0,Since 1991,2032,1962
3603,1112_000.0,Since 1991,2036,2156
3603,1112_000.0,Since 1991,2046,2642
3603,1112_000.0,Since 1991,2055,3079
3604,0015_368.1,Since 1991,1991,17469
3604,0015_368.1,Since 1991,2027,30218
3604,0015_368.1,Since 1991,2032,31988
3604,0015_368.1,Since 1991,2036,33405
3604,0015_368.1,Since 1991,2046,36946
3604,0015_368.1,Since 1991,2055,40133
3605,0038_003.2,Since 1991,1991,3396
3605,0038_003.2,Since 1991,2027,2979
3605,0038_003.2,Since 1991,2032,2921
3605,0038_003.2,Since 1991,2036,2875
3605,0038_003.2,Since 1991,2046,2759
3605,0038_003.2,Since 1991,2055,2654
3606,0091_010.1,Since 1991,1991,11134
3606,0091_010.1,Since 1991,2027,21984
3606,0091_010.1,Since 1991,2032,23491
3606,0091_010.1,Since 1991,2036,24697
3606,0091_010.1,Since 1991,2046,27711
3606,0091_010.1,Since 1991,2055,30423
3607,3462_002.8,Since 1991,1991,3895
3607,3462_002.8,Since 1991,2027,1228
3607,3462_002.8,Since 1991,2032,858
3607,3462_002.8,Since 1991,2036,562
3607,3462_002.8,Since 1991,2046,-179
3607,3462_002.8,Since 1991,2055,-846
3608,0039_008.7,Since 1991,1991,7024
3608,0039_008.7,Since 1991,2027,9057
3608,0039_008.7,Since 1991,2032,9339
3608,0039_008.7,Since 1991,2036,9565
3608,0039_008.7,Since 1991,2046,10130
3608,0039_008.7,Since 1991,2055,10638
3609,0084_087.8,Since 1991,1991,5593
3609,0084_087.8,Since 1991,2027,26217
3609,0084_087.8,Since 1991,2032,29081
3609,0084_087.8,Since 1991,2036,31373
3609,0084_087.8,Since 1991,2046,37102
3609,0084_087.8,Since 1991,2055,42258
3612,0080_099.5,Since 1991,1991,22822
3612,0080_099.5,Since 1991,2027,51296
3612,0080_099.5,Since 1991,2032,55251
3612,0080_099.5,Since 1991,2036,58415
3612,0080_099.5,Since 1991,2046,66324
3612,0080_099.5,Since 1991,2055,73443
3612,0080_101.5,Since 1991,1991,22822
3612,0080_101.5,Since 1991,2027,51296
3612,0080_101.5,Since 1991,2032,55251
3612,0080_101.5,Since 1991,2036,58415
3612,0080_101.5,Since 1991,2046,66324
3612,0080_101.5,Since 1991,2055,73443
3613,0065_008.4,Since 1991,1991,686
3613,0065_008.4,Since 1991,2027,434
3613,0065_008.4,Since 1991,2032,399
3613,0065_008.4,Since 1991,2036,371
3613,0065_008.4,Since 1991,2046,301
3613,0065_008.4,Since 1991,2055,238
3614,0080_138.9,Since 1991,1991,30726
3614,0080_138.9,Since 1991,2027,63629
3614,0080_138.9,Since 1991,2032,68199
3614,0080_138.9,Since 1991,2036,71854
3614,0080_138.9,Since 1991,2046,80994
3614,0080_138.9,Since 1991,2055,89220
3615,0190_015.75,Since 1991,1991,4959
3615,0190_015.75,Since 1991,2027,1072
3615,0190_015.75,Since 1991,2032,532
3615,0190_015.75,Since 1991,2036,100
3615,0190_015.75,Since 1991,2046,-980
3615,0190_015.75,Since 1991,2055,-1952
3616,1828_004.5,Since 1991,1991,388
3616,1828_004.5,Since 1991,2027,535
3616,1828_004.5,Since 1991,2032,556
3616,1828_004.5,Since 1991,2036,572
3616,1828_004.5,Since 1991,2046,613
3616,1828_004.5,Since 1991,2055,650
3617,0006_140.3,Since 1991,1991,1881
3617,0006_140.3,Since 1991,2027,992
3617,0006_140.3,Since 1991,2032,869
3617,0006_140.3,Since 1991,2036,770
3617,0006_140.3,Since 1991,2046,523
3617,0006_140.3,Since 1991,2055,301
3618,0073_015.5,Since 1991,1991,685
3618,0073_015.5,Since 1991,2027,2278
3618,0073_015.5,Since 1991,2032,2499
3618,0073_015.5,Since 1991,2036,2676
3618,0073_015.5,Since 1991,2046,3119
3618,0073_015.5,Since 1991,2055,3517
3620,0189_014.3,Since 1991,1991,6185
3620,0189_014.3,Since 1991,2027,13602
3620,0189_014.3,Since 1991,2032,14633
3620,0189_014.3,Since 1991,2036,15457
3620,0189_014.3,Since 1991,2046,17517
3620,0189_014.3,Since 1991,2055,19371
3623,0006_216.2,Since 1991,1991,4748
3623,0006_216.2,Since 1991,2027,10252
3623,0006_216.2,Since 1991,2032,11017
3623,0006_216.2,Since 1991,2036,11628
3623,0006_216.2,Since 1991,2046,13157
3623,0006_216.2,Since 1991,2055,14533
3624,0096_006.2,Since 1991,1991,286
3624,0096_006.2,Since 1991,2027,1447
3624,0096_006.2,Since 1991,2032,1608
3624,0096_006.2,Since 1991,2036,1737
3624,0096_006.2,Since 1991,2046,2060
3624,0096_006.2,Since 1991,2055,2350
3626,0089_296.0,Since 1991,1991,1768
3626,0089_296.0,Since 1991,2027,3387
3626,0089_296.0,Since 1991,2032,3612
3626,0089_296.0,Since 1991,2036,3792
3626,0089_296.0,Since 1991,2046,4242
3626,0089_296.0,Since 1991,2055,4647
3628,0015_233.2,Since 1991,1991,12049
3628,0015_233.2,Since 1991,2027,36659
3628,0015_233.2,Since 1991,2032,40077
3628,0015_233.2,Since 1991,2036,42811
3628,0015_233.2,Since 1991,2046,49648
3628,0015_233.2,Since 1991,2055,55800
3629,1826_004.9,Since 1991,1991,-2831
3629,1826_004.9,Since 1991,2027,4896
3629,1826_004.9,Since 1991,2032,5970
3629,1826_004.9,Since 1991,2036,6828
3629,1826_004.9,Since 1991,2046,8975
3629,1826_004.9,Since 1991,2055,10907
3601,1082_000.0,Since 1992,1992,193
3601,1082_000.0,Since 1992,2027,890
3601,1082_000.0,Since 1992,2032,989
3601,1082_000.0,Since 1992,2036,1069
3601,1082_000.0,Since 1992,2046,1268
3601,1082_000.0,Since 1992,2055,1447
3602,0013_006.5,Since 1992,1992,6262
3602,0013_006.5,Since 1992,2027,9924
3602,0013_006.5,Since 1992,2032,10447
3602,0013_006.5,Since 1992,2036,10866
3602,0013_006.5,Since 1992,2046,11912
3602,0013_006.5,Since 1992,2055,12854
3603,1112_000.0,Since 1992,1992,20
3603,1112_000.0,Since 1992,2027,1719
3603,1112_000.0,Since 1992,2032,1962
3603,1112_000.0,Since 1992,2036,2156
3603,1112_000.0,Since 1992,2046,2642
3603,1112_000.0,Since 1992,2055,3079
3604,0015_368.1,Since 1992,1992,18222
3604,0015_368.1,Since 1992,2027,29941
3604,0015_368.1,Since 1992,2032,31615
3604,0015_368.1,Since 1992,2036,32955
3604,0015_368.1,Since 1992,2046,36303
3604,0015_368.1,Since 1992,2055,39316
3605,0038_003.2,Since 1992,1992,3457
3605,0038_003.2,Since 1992,2027,2928
3605,0038_003.2,Since 1992,2032,2853
3605,0038_003.2,Since 1992,2036,2793
3605,0038_003.2,Since 1992,2046,2641
3605,0038_003.2,Since 1992,2055,2505
3606,0091_010.1,Since 1992,1992,11650
3606,0091_010.1,Since 1992,2027,21836
3606,0091_010.1,Since 1992,2032,23291
3606,0091_010.1,Since 1992,2036,24455
3606,0091_010.1,Since 1992,2046,27365
3606,0091_010.1,Since 1992,2055,29984
3607,3462_002.8,Since 1992,1992,3820
3607,3462_002.8,Since 1992,2027,1228
3607,3462_002.8,Since 1992,2032,858
3607,3462_002.8,Since 1992,2036,562
3607,3462_002.8,Since 1992,2046,-179
3607,3462_002.8,Since 1992,2055,-846
3608,0039_008.7,Since 1992,1992,7199
3608,0039_008.7,Since 1992,2027,8975
3608,0039_008.7,Since 1992,2032,9228
3608,0039_008.7,Since 1992,2036,9431
3608,0039_008.7,Since 1992,2046,9938
3608,0039_008.7,Since 1992,2055,10395
3609,0084_087.8,Since 1992,1992,6133
3609,0084_087.8,Since 1992,2027,26239
3609,0084_087.8,Since 1992,2032,29111
3609,0084_087.8,Since 1992,2036,31409
3609,0084_087.8,Since 1992,2046,37154
3609,0084_087.8,Since 1992,2055,42324
3612,0080_099.5,Since 1992,1992,23679
3612,0080_099.5,Since 1992,2027,51251
3612,0080_099.5,Since 1992,2032,55190
3612,0080_099.5,Since 1992,2036,58341
3612,0080_099.5,Since 1992,2046,66219
3612,0080_099.5,Since 1992,2055,73309
3612,0080_101.5,Since 1992,1992,23679
3612,0080_101.5,Since 1992,2027,51251
3612,0080_101.5,Since 1992,2032,55190
3612,0080_101.5,Since 1992,2036,58341
3612,0080_101.5,Since 1992,2046,66219
3612,0080_101.5,Since 1992,2055,73309
3613,0065_008.4,Since 1992,1992,697
3613,0065_008.4,Since 1992,2027,421
3613,0065_008.4,Since 1992,2032,382
3613,0065_008.4,Since 1992,2036,350
3613,0065_008.4,Since 1992,2046,272
3613,0065_008.4,Since 1992,2055,201
3614,0080_138.9,Since 1992,1992,32119
3614,0080_138.9,Since 1992,2027,63297
3614,0080_138.9,Since 1992,2032,67751
3614,0080_138.9,Since 1992,2036,71314
3614,0080_138.9,Since 1992,2046,80223
3614,0080_138.9,Since 1992,2055,88240
3615,0190_015.75,Since 1992,1992,4947
3615,0190_015.75,Since 1992,2027,1005
3615,0190_015.75,Since 1992,2032,442
3615,0190_015.75,Since 1992,2036,-9
3615,0190_015.75,Since 1992,2046,-1135
3615,0190_015.75,Since 1992,2055,-2148
3616,1828_004.5,Since 1992,1992,393
3616,1828_004.5,Since 1992,2027,535
3616,1828_004.5,Since 1992,2032,556
3616,1828_004.5,Since 1992,2036,572
3616,1828_004.5,Since 1992,2046,613
3616,1828_004.5,Since 1992,2055,650
3617,0006_140.3,Since 1992,1992,1891
3617,0006_140.3,Since 1992,2027,968
3617,0006_140.3,Since 1992,2032,836
3617,0006_140.3,Since 1992,2036,731
3617,0006_140.3,Since 1992,2046,467
3617,0006_140.3,Since 1992,2055,229
3618,0073_015.5,Since 1992,1992,744
3618,0073_015.5,Since 1992,2027,2267
3618,0073_015.5,Since 1992,2032,2485
3618,0073_015.5,Since 1992,2036,2659
3618,0073_015.5,Since 1992,2046,3095
3618,0073_015.5,Since 1992,2055,3486
3620,0189_014.3,Since 1992,1992,6478
3620,0189_014.3,Since 1992,2027,13542
3620,0189_014.3,Since 1992,2032,14551
3620,0189_014.3,Since 1992,2036,15359
3620,0189_014.3,Since 1992,2046,17377
3620,0189_014.3,Since 1992,2055,19193
3623,0006_216.2,Since 1992,1992,4930
3623,0006_216.2,Since 1992,2027,10232
3623,0006_216.2,Since 1992,2032,10990
3623,0006_216.2,Since 1992,2036,11596
3623,0006_216.2,Since 1992,2046,13111
3623,0006_216.2,Since 1992,2055,14475
3624,0096_006.2,Since 1992,1992,294
3624,0096_006.2,Since 1992,2027,1463
3624,0096_006.2,Since 1992,2032,1630
3624,0096_006.2,Since 1992,2036,1764
3624,0096_006.2,Since 1992,2046,2098
3624,0096_006.2,Since 1992,2055,2398
3626,0089_296.0,Since 1992,1992,1846
3626,0089_296.0,Since 1992,2027,3364
3626,0089_296.0,Since 1992,2032,3581
3626,0089_296.0,Since 1992,2036,3754
3626,0089_296.0,Since 1992,2046,4188
3626,0089_296.0,Since 1992,2055,4578
3628,0015_233.2,Since 1992,1992,12783
3628,0015_233.2,Since 1992,2027,36624
3628,0015_233.2,Since 1992,2032,40030
3628,0015_233.2,Since 1992,2036,42754
3628,0015_233.2,Since 1992,2046,49566
3628,0015_233.2,Since 1992,2055,55697
3629,1826_004.9,Since 1992,1992,-2616
3629,1826_004.9,Since 1992,2027,4896
3629,1826_004.9,Since 1992,2032,5970
3629,1826_004.9,Since 1992,2036,6828
3629,1826_004.9,Since 1992,2046,8975
3629,1826_004.9,Since 1992,2055,10907
3601,1082_000.0,Since 1993,1993,213
3601,1082_000.0,Since 1993,2027,890
3601,1082_000.0,Since 1993,2032,989
3601,1082_000.0,Since 1993,2036,1069
3601,1082_000.0,Since 1993,2046,1268
3601,1082_000.0,Since 1993,2055,1447
3602,0013_006.5,Since 1993,1993,6260
3602,0013_006.5,Since 1993,2027,9998
3602,0013_006.5,Since 1993,2032,10548
3602,0013_006.5,Since 1993,2036,10988
3602,0013_006.5,Since 1993,2046,12087
3602,0013_006.5,Since 1993,2055,13077
3603,1112_000.0,Since 1993,1993,68
3603,1112_000.0,Since 1993,2027,1719
3603,1112_000.0,Since 1993,2032,1962
3603,1112_000.0,Since 1993,2036,2156
3603,1112_000.0,Since 1993,2046,2642
3603,1112_000.0,Since 1993,2055,3079
3604,0015_368.1,Since 1993,1993,19001
3604,0015_368.1,Since 1993,2027,29630
3604,0015_368.1,Since 1993,2032,31193
3604,0015_368.1,Since 1993,2036,32444
3604,0015_368.1,Since 1993,2046,35570
3604,0015_368.1,Since 1993,2055,38384
3605,0038_003.2,Since 1993,1993,3542
3605,0038_003.2,Since 1993,2027,2859
3605,0038_003.2,Since 1993,2032,2758
3605,0038_003.2,Since 1993,2036,2678
3605,0038_003.2,Since 1993,2046,2477
3605,0038_003.2,Since 1993,2055,2296
3606,0091_010.1,Since 1993,1993,12131
3606,0091_010.1,Since 1993,2027,21703
3606,0091_010.1,Since 1993,2032,23110
3606,0091_010.1,Since 1993,2036,24236
3606,0091_010.1,Since 1993,2046,27051
3606,0091_010.1,Since 1993,2055,29585
3607,3462_002.8,Since 1993,1993,3746
3607,3462_002.8,Since 1993,2027,1228
3607,3462_002.8,Since 1993,2032,858
3607,3462_002.8,Since 1993,2036,562
3607,3462_002.8,Since 1993,2046,-179
3607,3462_002.8,Since 1993,2055,-846
3608,0039_008.7,Since 1993,1993,7350
3608,0039_008.7,Since 1993,2027,8904
3608,0039_008.7,Since 1993,2032,9133
3608,0039_008.7,Since 1993,2036,9315
3608,0039_008.7,Since 1993,2046,9773
3608,0039_008.7,Since 1993,2055,10184
3609,0084_087.8,Since 1993,1993,6701
3609,0084_087.8,Since 1993,2027,26244
3609,0084_087.8,Since 1993,2032,29118
3609,0084_087.8,Since 1993,2036,31417
3609,0084_087.8,Since 1993,2046,37165
3609,0084_087.8,Since 1993,2055,42338
3612,0080_099.5,Since 1993,1993,24546
3612,0080_099.5,Since 1993,2027,51196
3612,0080_099.5,Since 1993,2032,55115
3612,0080_099.5,Since 1993,2036,58250
3612,0080_099.5,Since 1993,2046,66088
3612,0080_099.5,Since 1993,2055,73143
3612,0080_101.5,Since 1993,1993,24546
3612,0080_101.5,Since 1993,2027,51196
3612,0080_101.5,Since 1993,2032,55115
3612,0080_101.5,Since 1993,2036,58250
3612,0080_101.5,Since 1993,2046,66088
3612,0080_101.5,Since 1993,2055,73143
3613,0065_008.4,Since 1993,1993,706
3613,0065_008.4,Since 1993,2027,410
3613,0065_008.4,Since 1993,2032,366
3613,0065_008.4,Since 1993,2036,332
3613,0065_008.4,Since 1993,2046,245
3613,0065_008.4,Since 1993,2055,166
3614,0080_138.9,Since 1993,1993,33350
3614,0080_138.9,Since 1993,2027,63059
3614,0080_138.9,Since 1993,2032,67428
3614,0080_138.9,Since 1993,2036,70923
3614,0080_138.9,Since 1993,2046,79661
3614,0080_138.9,Since 1993,2055,87525
3615,0190_015.75,Since 1993,1993,4899
3615,0190_015.75,Since 1993,2027,959
3615,0190_015.75,Since 1993,2032,380
3615,0190_015.75,Since 1993,2036,-84
3615,0190_015.75,Since 1993,2046,-1243
3615,0190_015.75,Since 1993,2055,-2286
3616,1828_004.5,Since 1993,1993,397
3616,1828_004.5,Since 1993,2027,535
3616,1828_004.5,Since 1993,2032,556
3616,1828_004.5,Since 1993,2036,572
3616,1828_004.5,Since 1993,2046,613
3616,1828_004.5,Since 1993,2055,650
3617,0006_140.3,Since 1993,1993,1897
3617,0006_140.3,Since 1993,2027,945
3617,0006_140.3,Since 1993,2032,805
3617,0006_140.3,Since 1993,2036,693
3617,0006_140.3,Since 1993,2046,413
3617,0006_140.3,Since 1993,2055,161
3618,0073_015.5,Since 1993,1993,767
3618,0073_015.5,Since 1993,2027,2282
3618,0073_015.5,Since 1993,2032,2504
3618,0073_015.5,Since 1993,2036,2682
3618,0073_015.5,Since 1993,2046,3128
3618,0073_015.5,Since 1993,2055,3529
3620,0189_014.3,Since 1993,1993,6766
3620,0189_014.3,Since 1993,2027,13482
3620,0189_014.3,Since 1993,2032,14469
3620,0189_014.3,Since 1993,2036,15260
3620,0189_014.3,Since 1993,2046,17235
3620,0189_014.3,Since 1993,2055,19012
3623,0006_216.2,Since 1993,1993,5100
3623,0006_216.2,Since 1993,2027,10219
3623,0006_216.2,Since 1993,2032,10972
3623,0006_216.2,Since 1993,2036,11574
3623,0006_216.2,Since 1993,2046,13080
3623,0006_216.2,Since 1993,2055,14435
3624,0096_006.2,Since 1993,1993,299
3624,0096_006.2,Since 1993,2027,1483
3624,0096_006.2,Since 1993,2032,1657
3624,0096_006.2,Since 1993,2036,1797
3624,0096_006.2,Since 1993,2046,2145
3624,0096_006.2,Since 1993,2055,2458
3626,0089_296.0,Since 1993,1993,1933
3626,0089_296.0,Since 1993,2027,3334
3626,0089_296.0,Since 1993,2032,3540
3626,0089_296.0,Since 1993,2036,3705
3626,0089_296.0,Since 1993,2046,4117
3626,0089_296.0,Since 1993,2055,4488
3628,0015_233.2,Since 1993,1993,13575
3628,0015_233.2,Since 1993,2027,36546
3628,0015_233.2,Since 1993,2032,39924
3628,0015_233.2,Since 1993,2036,42626
3628,0015_233.2,Since 1993,2046,49382
3628,0015_233.2,Since 1993,2055,55463
3629,1826_004.9,Since 1993,1993,-2402
3629,1826_004.9,Since 1993,2027,4896
3629,1826_004.9,Since 1993,2032,5970
3629,1826_004.9,Since 1993,2036,6828
3629,1826_004.9,Since 1993,2046,8975
3629,1826_004.9,Since 1993,2055,10907
3601,1082_000.0,Since 1994,1994,233
3601,1082_000.0,Since 1994,2027,890
3601,1082_000.0,Since 1994,2032,989
3601,1082_000.0,Since 1994,2036,1069
3601,1082_000.0,Since 1994,2046,1268
3601,1082_000.0,Since 1994,2055,1447
3602,0013_006.5,Since 1994,1994,6201
3602,0013_006.5,Since 1994,2027,10118
3602,0013_006.5,Since 1994,2032,10711
3602,0013_006.5,Since 1994,2036,11186
3602,0013_006.5,Since 1994,2046,12372
3602,0013_006.5,Since 1994,2055,13441
3603,1112_000.0,Since 1994,1994,117
3603,1112_000.0,Since 1994,2027,1719
3603,1112_000.0,Since 1994,2032,1962
3603,1112_000.0,Since 1994,2036,2156
3603,1112_000.0,Since 1994,2046,2642
3603,1112_000.0,Since 1994,2055,3079
3604,0015_368.1,Since 1994,1994,19766
3604,0015_368.1,Since 1994,2027,29311
3604,0015_368.1,Since 1994,2032,30757
3604,0015_368.1,Since 1994,2036,31914
3604,0015_368.1,Since 1994,2046,34806
3604,0015_368.1,Since 1994,2055,37409
3605,0038_003.2,Since 1994,1994,3522
3605,0038_003.2,Since 1994,2027,2859
3605,0038_003.2,Since 1994,2032,2758
3605,0038_003.2,Since 1994,2036,2678
3605,0038_003.2,Since 1994,2046,2477
3605,0038_003.2,Since 1994,2055,2296
3606,0091_010.1,Since 1994,1994,12569
3606,0091_010.1,Since 1994,2027,21592
3606,0091_010.1,Since 1994,2032,22959
3606,0091_010.1,Since 1994,2036,24053
3606,0091_010.1,Since 1994,2046,26787
3606,0091_010.1,Since 1994,2055,29248
3607,3462_002.8,Since 1994,1994,3672
3607,3462_002.8,Since 1994,2027,1228
3607,3462_002.8,Since 1994,2032,858
3607,3462_002.8,Since 1994,2036,562
3607,3462_002.8,Since 1994,2046,-179
3607,3462_002.8,Since 1994,2055,-846
3608,0039_008.7,Since 1994,1994,7477
3608,0039_008.7,Since 1994,2027,8847
3608,0039_008.7,Since 1994,2032,9055
3608,0039_008.7,Since 1994,2036,9221
3608,0039_008.7,Since 1994,2046,9636
3608,0039_008.7,Since 1994,2055,10010
3609,0084_087.8,Since 1994,1994,7227
3609,0084_087.8,Since 1994,2027,26278
3609,0084_087.8,Since 1994,2032,29165
3609,0084_087.8,Since 1994,2036,31474
3609,0084_087.8,Since 1994,2046,37247
3609,0084_087.8,Since 1994,2055,42442
3612,0080_099.5,Since 1994,1994,25347
3612,0080_099.5,Since 1994,2027,51183
3612,0080_099.5,Since 1994,2032,55098
3612,0080_099.5,Since 1994,2036,58230
3612,0080_099.5,Since 1994,2046,66059
3612,0080_099.5,Since 1994,2055,73105
3612,0080_101.5,Since 1994,1994,25347
3612,0080_101.5,Since 1994,2027,51183
3612,0080_101.5,Since 1994,2032,55098
3612,0080_101.5,Since 1994,2036,58230
3612,0080_101.5,Since 1994,2046,66059
3612,0080_101.5,Since 1994,2055,73105
3613,0065_008.4,Since 1994,1994,721
3613,0065_008.4,Since 1994,2027,393
3613,0065_008.4,Since 1994,2032,343
3613,0065_008.4,Since 1994,2036,303
3613,0065_008.4,Since 1994,2046,204
3613,0065_008.4,Since 1994,2055,114
3614,0080_138.9,Since 1994,1994,34571
3614,0080_138.9,Since 1994,2027,62813
3614,0080_138.9,Since 1994,2032,67092
3614,0080_138.9,Since 1994,2036,70516
3614,0080_138.9,Since 1994,2046,79074
3614,0080_138.9,Since 1994,2055,86776
3615,0190_015.75,Since 1994,1994,4836
3615,0190_015.75,Since 1994,2027,923
3615,0190_015.75,Since 1994,2032,330
3615,0190_015.75,Since 1994,2036,-145
3615,0190_015.75,Since 1994,2046,-1330
3615,0190_015.75,Since 1994,2055,-2398
3616,1828_004.5,Since 1994,1994,401
3616,1828_004.5,Since 1994,2027,535
3616,1828_004.5,Since 1994,2032,556
3616,1828_004.5,Since 1994,2036,572
3616,1828_004.5,Since 1994,2046,613
3616,1828_004.5,Since 1994,2055,650
3617,0006_140.3,Since 1994,1994,1901
3617,0006_140.3,Since 1994,2027,923
3617,0006_140.3,Since 1994,2032,775
3617,0006_140.3,Since 1994,2036,656
3617,0006_140.3,Since 1994,2046,360
3617,0006_140.3,Since 1994,2055,93
3618,0073_015.5,Since 1994,1994,790
3618,0073_015.5,Since 1994,2027,2297
3618,0073_015.5,Since 1994,2032,2526
3618,0073_015.5,Since 1994,2036,2709
3618,0073_015.5,Since 1994,2046,3166
3618,0073_015.5,Since 1994,2055,3577
3620,0189_014.3,Since 1994,1994,7042
3620,0189_014.3,Since 1994,2027,13426
3620,0189_014.3,Since 1994,2032,14393
3620,0189_014.3,Since 1994,2036,15167
3620,0189_014.3,Since 1994,2046,17102
3620,0189_014.3,Since 1994,2055,18843
3623,0006_216.2,Since 1994,1994,5252
3623,0006_216.2,Since 1994,2027,10218
3623,0006_216.2,Since 1994,2032,10970
3623,0006_216.2,Since 1994,2036,11572
3623,0006_216.2,Since 1994,2046,13077
3623,0006_216.2,Since 1994,2055,14431
3624,0096_006.2,Since 1994,1994,304
